Nome,Preço,Categoria,Avaliação,Número de avaliações,Termômetro,Vendedor
"Smartphone Samsung Galaxy A14 5g, 128gb, 4gb Ram, Tela 6.6",1.237,Celulares e Smartphones,4.6,5.0,5.0,COMMCENTER
Samsung Galaxy J6 TV Dual SIM 32 GB preto 2 GB RAM,"754,72",Celulares e Smartphones,3.9,21.0,5.0,TECMODENA
Apple iPhone 14 Pro Max (512 GB) - Prateado,11.799,Celulares e Smartphones,4.9,139.0,5.0,LOJA IPLACE
 Moto G7 Play Dual SIM 32 GB índigo-escuro 2 GB RAM,699,Celulares e Smartphones,4.6,254.0,5.0,TECMODENA
Apple iPhone 14 Pro (256 GB) - Preto-espacial,8.754,Celulares e Smartphones,4.9,58.0,5.0,FASTSHOP OFICIAL
Realme C30s Dual SIM 32 GB stripe black 2 GB RAM,"649,35",Celulares e Smartphones,4.6,14.0,5.0,Realme
Apple iPhone 13 Pro Max (128 GB) - Verde-alpino,8.499,Celulares e Smartphones,4.9,136.0,5.0,VATRA STORE.COM.BR
Apple iPhone 14 (128 GB) - (PRODUCT)RED,6.057,Celulares e Smartphones,4.8,55.0,5.0,FASTSHOP OFICIAL
Apple iPhone 13 (128 GB) - Estelar,4.899,Celulares e Smartphones,4.9,683.0,5.0,LOJA IPLACE
Samsung Galaxy S22+ (Snapdragon) 128 GB pink gold 8 GB RAM,4.799,Celulares e Smartphones,4.7,11.0,5.0,123 Comprou
Apple iPhone 12 (128 GB) - Preto,4.498,Celulares e Smartphones,4.8,792.0,5.0,FASTSHOP OFICIAL
Apple iPhone 12 (64 GB) - (PRODUCT)RED,4.079,Celulares e Smartphones,4.8,792.0,5.0,LOJA IPLACE
Xiaomi Pocophone Poco X3 Pro Dual SIM 128 GB frost blue 6 GB RAM,3.610,Celulares e Smartphones,4.8,903.0,5.0,MZ ELETRO
Xiaomi Pocophone Poco X4 Pro 5G Dual SIM 128 GB laser black 6 GB RAM,"2.443,06",Celulares e Smartphones,4.7,951.0,5.0,TORTAS DEFLECHA
Samsung Galaxy A34 5G 128 GB cinza titanium 6 GB RAM,1.799,Celulares e Smartphones,4.9,9.0,5.0,Digital ProShop
